Title,Premiere,Genre,Runtime,Language
The Devil All The Time,2020,Psychological thriller,minutes:138,English
The Paramedic,2020,Thriller,minutes:94,Spanish
Dolly Kitty Aur Woh Chamakte Sitare,2020,Drama,minutes:120,Hindi
Whipped,2020,Romantic comedy,minutes:97,Indonesian
The Boys in the Band,2020,Drama,minutes:122,English
All Because of You,2020,Action comedy,minutes:101,Malay
Òlòtūré,2020,Crime drama,minutes:106,English
Serious Men,2020,Comedy drama,minutes:114,Hindi
The Binding,2020,Horror,minutes:93,Italian
Vampires vs. the Bronx,2020,Horror comedy,minutes:85,English
You've Got This,2020,Romantic comedy,minutes:111,Spanish
Hubie Halloween,2020,Comedy,minutes:103,English
Ginny Weds Sunny,2020,Romantic comedy,minutes:125,Hindi
The Forty-Year-Old Version,2020,Comedy drama,minutes:124,English
A Babysitter's Guide to Monster Hunting,2020,Comedy  Fantasy  Family,minutes:98,English
Love Like the Falling Rain,2020,Teen romantic drama,minutes:86,Indonesian
The Trial of the Chicago 7,2020,Historical legal drama,minutes:130,English
Rebecca,2020,Romantic thriller,minutes:123,English
Cadaver,2020,Horror,minutes:86,Norwegian
Over the Moon,2020,Animated musical fantasy,minutes:100,English
Holidate,2020,Christmas romantic comedy,minutes:104,English
Nobody Sleeps in the Woods Tonight,2020,Horror,minutes:103,Polish
His House,2020,Thriller,minutes:93,English
Kaali Khuhi,2020,Horror,minutes:90,Hindi
Rogue City,2020,Crime,minutes:116,French
The Day of the Lord,2020,Horror,minutes:93,Spanish
Operation Christmas Drop,2020,Christmas romantic comedy,minutes:96,English
Citation,2020,Drama,minutes:151,English
What We Wanted,2020,Drama,minutes:93,German
Ludo,2020,Anthology  Dark comedy,minutes:150,Hindi
Jingle Jangle: A Christmas Journey,2020,Family  Christmas musical,minutes:119,English
The Life Ahead,2020,Drama,minutes:95,Italian
The Princess Switch: Switched Again,2020,Christmas romantic comedy,minutes:97,English
Christmas on the Square,2020,Christmas musical,minutes:98,English
Hillbilly Elegy,2020,Drama,minutes:117,English
Notes for My Son,2020,Drama,minutes:83,Spanish
The Christmas Chronicles: Part Two,2020,Christmas comedy,minutes:115,English
The Beast,2020,Action thriller,minutes:99,Italian
The Call,2020,Psychological thriller,minutes:112,Korean
Finding Agnes,2020,Drama,minutes:105,Filipino
Just Another Christmas,2020,Christmas comedy,minutes:101,Portuguese
Christmas Crossfire,2020,Christmas thriller,minutes:106,German
Leyla Everlasting,2020,Comedy,minutes:112,Turkish
Mank,2020,Biopic,minutes:132,English
The Claus Family,2020,Christmas fantasy,minutes:97,Dutch
Rose Island,2020,Comedy drama,minutes:118,Italian
The Prom,2020,Musical,minutes:132,English
A California Christmas,2020,Christmas romantic comedy,minutes:107,English
Ma Rainey's Black Bottom,2020,Drama,minutes:94,English
The Midnight Sky,2020,Science fiction,minutes:118,English
AK vs AK,2020,Black comedy thriller,minutes:109,Hindi
We Can Be Heroes,2020,Superhero,minutes:100,English
Miss Americana,2020,Documentary,minutes:85,English
A Life of Speed: The Juan Manuel Fangio Story,2020,Documentary,minutes:92,Spanish
Crip Camp: A Disability Revolution,2020,Documentary,minutes:108,English
LA Originals,2020,Documentary,minutes:92,English
Circus of Books,2020,Documentary,minutes:86,English
A Secret Love,2020,Documentary,minutes:82,English
Murder to Mercy: The Cyntoia Brown Story,2020,Documentary,minutes:97,English
Becoming,2020,Documentary,minutes:89,English
Have a Good Trip: Adventures in Psychedelics,2020,Documentary,minutes:85,English
Spelling the Dream,2020,Documentary,minutes:83,English
One Take,2020,Documentary,minutes:85,Thai
Disclosure: Trans Lives on Screen,2020,Documentary,minutes:107,English
Athlete A,2020,Documentary,minutes:104,English
Mucho Mucho Amor: The Legend of Walter Mercado,2020,Documentary,minutes:96,English
We Are One,2020,Documentary,minutes:86,French
Father Soldier Son,2020,Documentary,minutes:100,English
The Speed Cubers,2020,Documentary,minutes:40,English
Anelka: Misunderstood,2020,Documentary,minutes:94,French
Rising Phoenix,2020,Documentary,minutes:106,English
My Octopus Teacher,2020,Documentary,minutes:85,English
The Social Dilemma,2020,Documentary,minutes:94,English
Hope Frozen: A Quest to Live Twice,2020,Documentary,minutes:80,Thai
GIMS: On the Record,2020,Documentary,minutes:96,French
American Murder: The Family Next Door,2020,Documentary,minutes:82,English
Dick Johnson Is Dead,2020,Documentary,minutes:90,English
David Attenborough: A Life on Our Planet,2020,Documentary,minutes:83,English
Bigflo & Oli: Hip Hop Frenzy,2020,Documentary,minutes:100,French
Blackpink: Light Up the Sky,2020,Documentary,minutes:79,Korean
The Three Deaths of Marisela Escobedo,2020,Documentary,minutes:109,Spanish
Rooting for Roona,2020,Documentary,minutes:41,Bengali
Guillermo Vilas: Settling the Score,2020,Documentary,minutes:94,Spanish
Secrets of the Saqqara Tomb,2020,Documentary,minutes:114,English
Shawn Mendes: In Wonder,2020,Documentary,minutes:83,English
Dance Dreams: Hot Chocolate Nutcracker,2020,Documentary,minutes:80,English
Emicida: AmarElo – It's All For Yesterday,2020,Documentary,minutes:89,Portuguese
Giving Voice,2020,Documentary,minutes:90,English
Road to Roma,2020,Making of,minutes:72,Spanish
Ben Platt: Live from Radio City Music Hall,2020,Concert film,minutes:85,English
The Boys in the Band: Something Personal,2020,Aftershow  Interview,minutes:28,English
Sarah Cooper: Everything's Fine,2020,Variety show,minutes:49,English
Alien Xmas,2020,Stop motion,minutes:42,English
Shawn Mendes: Live in Concert,2020,Concert film,minutes:87,English
Angela's Christmas Wish,2020,Animation,minutes:47,English
Ma Rainey's Black Bottom: A Legacy Brought to Screen,2020,Aftershow  Interview,minutes:31,English
"Ariana Grande: Excuse Me, I Love You",2020,Concert film,minutes:97,English
